SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
271.93,260.88,260.88,260.88,260.88,260.88,224.72,224.9,281.73,281.73,281.73,280.35,280.35,280.35,270.26,270.26,,225.09
314.27,315.8,315.8,315.8,315.8,317.81,284.19,284.19,316.97,311.43,316.97,315.8,315.8,315.8,342.75,342.75,,292.43
300.21,299.26,299.26,299.26,299.26,299.59,264.53,267.52,303.72,302.96,303.72,299.36,299.36,299.36,349.82,349.82,,391.43
297.26,292.93,292.93,292.93,292.93,294.92,257.9,257.9,302.3,302.18,302.3,294.34,294.34,294.34,350.82,350.82,,349.3
301.75,302.43,302.43,302.43,306.01,302.43,301.62,302.73,302.55,300.95,300.95,302.43,302.43,302.43,320.75,320.75,,333.73
297.52,297.65,297.65,297.65,298.47,297.65,296.27,298.76,297.65,297,297,297.65,297.65,297.65,317.57,317.57,,310
329.1,330.78,330.78,330.78,364.56,336.13,419.44,420.87,327.87,313.1,318.52,330.78,330.78,330.78,341.38,341.38,,373.05
345.19,341.59,341.59,341.59,381.91,341.59,395.32,395.32,341.59,321.4,341.59,341.59,341.59,341.59,316.71,316.71,,370.22
336.86,341.2,341.2,341.2,341.2,341.2,341.2,341.2,341.25,326.29,341.25,341.2,341.2,341.2,342.59,342.59,,331.04
348.44,352.79,352.79,352.79,352.79,352.79,352.5,353.87,355.76,331.03,355.76,352.79,352.79,352.79,348.15,348.15,,323.73
358.61,364.35,364.35,368.88,368.88,376.73,368.88,368.88,370.16,333.3,370.16,364.35,364.35,364.35,371.31,371.31,,325.89
348.77,352.02,352.02,352.25,355.69,353.07,359.2,359.2,352.39,336.33,352.39,352.02,352.02,341.84,353.07,353.07,,340.94
340.15,340.91,340.91,341.57,341.57,341.41,341.57,341.57,342.19,336.23,342.19,340.91,340.91,337.36,345.98,345.98,,392.94
400.1,402.53,402.53,442.52,442.52,402.26,443.44,443.49,446.41,341.84,446.41,402.53,402.53,402.53,393.98,393.98,,409.42
412.83,435.25,435.25,435.25,435.25,435.25,435.25,435.25,436.25,345.9,436.25,435.25,435.25,435.25,427.55,427.55,,399.69
440.61,442.42,442.42,446.83,447.41,442.42,447.42,447.41,447.57,420.04,447.57,442.42,442.42,438.68,429.59,429.59,,435.07
461.95,463.06,463.06,463.06,463.06,463.06,463.06,463.06,463.06,453.59,463.06,463.06,463.06,463.06,425.18,425.25,,421.76
413.22,414.38,414.38,414.38,414.38,415.39,414.38,414.38,414.51,400.14,414.51,414.38,414.38,409.98,399.04,399.04,,446.02
347.96,346.7,346.7,346.7,346.7,347.98,334.43,334.43,351.16,350.19,351.16,346.7,346.7,342.84,347.98,347.98,,430.6
333.28,332.58,332.58,332.58,332.58,332.64,316.49,317.62,336.79,335.58,336.79,332.58,332.58,332.58,345.01,345.01,,378.1
357.68,359.7,359.7,359.7,359.7,359.7,323.04,336.83,363.36,348.75,363.36,359.7,359.7,358.57,356.34,369.81,,408.09
408.44,404.75,404.75,423.94,423.94,403.87,415.4,416.19,425.74,422.99,425.74,404.75,404.75,404.75,394.83,402.22,,388.84
471.79,467.4,467.4,499.26,499.26,466.53,499.26,499.26,498.24,459.83,498.24,467.4,467.4,466.47,462.85,490.21,,537.44
485.08,478.67,478.67,507.26,507.26,475.78,507.26,507.26,504.94,501.95,504.94,478.67,478.67,476.33,468.2,471.04,,500.34
441.84,442.46,442.46,442.46,442.46,442.46,442.14,442.14,441.02,435.11,441.02,442.46,442.46,440.68,437.25,472.03,,468.98
325.22,325.48,325.48,325.48,325.48,325.48,312.75,313.12,325.86,325.86,325.86,325.48,325.48,325.48,323.44,412.66,,358.68
313.18,313.43,313.43,313.43,313.43,313.43,270.54,275.45,316.43,316.43,316.43,313.43,313.43,313.43,316.99,322.57,,337.5
328.15,326.66,326.66,326.66,326.66,340.66,313.07,313.07,329.58,329.58,329.58,326.66,326.66,326.66,331.67,343.18,,344.96
321.32,319.83,319.83,319.83,319.83,325.57,272.56,273.89,324.37,324.37,324.37,321.25,321.25,321.25,324.6,362.72,,386.61
306.64,304.54,304.54,304.54,304.54,308.33,245.11,245.43,310.22,310.22,310.22,306.22,306.22,306.22,307.49,367.66,,376.29
309.68,304.46,304.46,304.46,304.46,305.96,239.47,240.19,312.34,312.34,312.34,307.87,307.87,307.87,305.76,355.27,,344.9
332.35,331.75,331.75,331.75,331.75,331.75,319.03,319.03,334.11,334.11,334.11,331.75,331.75,331.75,321.28,348.35,,384.35
314.26,312.8,312.8,312.8,312.8,312.8,311.66,312.35,316.59,316.59,316.59,312.8,312.8,312.8,312.52,350.03,,457.27
308.82,307.79,307.79,307.79,307.79,307.79,282.51,294.62,311.89,311.89,311.89,307.79,307.79,307.79,326.55,344.08,,381.37
316.19,314.72,314.72,314.72,314.72,314.72,267.51,280.96,319.55,319.49,319.55,316.29,316.29,316.29,313.37,362.96,,434.86
318.22,314.03,314.03,314.03,314.03,314.03,264.48,269.43,322.64,322.52,322.64,318.14,318.14,318.14,313.89,375.62,,335.56
337.38,336.03,336.03,336.03,336.78,336.03,335.23,335.98,340.13,340.13,340.13,336.03,336.03,336.03,334.79,380.33,,377.39
352.66,350.97,350.97,350.97,351.38,350.97,351.38,351.38,353.47,353.47,353.47,351.15,351.15,351.15,345.93,370.72,,390.35
342.66,342.1,342.1,342.1,342.1,342.1,342.1,342.1,343.41,343.41,343.41,342.1,342.1,342.1,330.82,350.92,,382.27
332.91,330.25,330.25,330.25,331.16,330.25,331.15,331.16,335.36,335.36,335.36,330.25,330.25,330.25,330.25,330.38,,371.81
325.4,323.35,323.35,323.35,323.35,323.35,323.35,323.35,326.98,326.98,326.98,323.35,323.35,323.35,323.41,324.74,,345.68
361.48,361.21,361.21,361.21,361.21,361.21,360.14,360.14,361.91,361.91,361.91,361.21,361.21,361.21,347.41,358.69,,381.66
369.86,369.82,369.82,369.82,369.82,369.82,369.03,369.82,370.11,370.11,370.11,369.82,369.82,369.82,369.82,384.96,,377.52
387.48,382.03,382.03,382.03,382.03,382.03,426.73,426.73,382.93,382.93,382.93,382.03,382.03,382.03,381.95,394.91,,386.56
338.95,338.68,338.68,338.68,338.68,338.68,338.68,338.68,339.49,339.49,339.49,338.68,338.68,338.68,367.19,372.66,,384.27
340.25,339.45,339.45,339.45,340.72,339.45,339.46,339.46,341.18,341.18,341.18,339.45,339.45,339.45,340.55,345.5,,368.39
325.69,324.14,324.14,324.14,324.14,324.14,326.66,326.66,327.17,327.17,327.17,324.14,324.14,324.14,347.03,347.03,,371.89
318.57,317.93,317.93,317.93,317.93,317.93,321.06,321.42,319.88,319.88,319.88,317.93,317.93,317.93,329.76,329.76,,371.42
333.47,333.08,333.08,333.08,333.08,333.08,333.43,333.43,334.3,334.3,334.3,333.08,333.08,333.08,334.86,370.25,,353.67
328.58,326.26,326.26,326.26,326.26,326.26,323.8,323.8,331.57,331.5,331.57,326.26,326.26,326.26,325.93,351.04,,368.39
335.37,333.11,333.11,333.11,333.11,333.11,332.26,332.26,337.78,336.42,337.78,333.11,333.11,333.11,333.07,333.88,,298.63
368.27,358.77,358.77,358.77,367.22,358.77,431.19,431.19,360.18,345.21,360.18,358.77,358.77,358.68,358.96,358.96,,330.38
363.79,360.45,360.45,360.45,360.45,360.45,406.94,406.94,360.64,357.7,360.64,360.45,360.45,360.45,362.47,362.47,,366.42
325.92,322.96,322.96,322.96,322.96,322.96,313.37,313.37,331.91,331.91,331.91,322.96,322.96,322.96,337.93,337.93,,323.09
318.94,315.99,315.99,315.99,315.99,315.99,283.38,283.38,326.27,326.27,326.27,318.57,318.57,317.74,347.63,347.63,,262
337.7,335.86,335.86,335.86,335.86,335.86,329.03,340.06,341.65,341.65,341.65,335.86,335.86,335.86,335.81,335.81,,344.62
342.31,340.54,340.54,340.54,348.88,340.54,353.17,391,344.04,344.04,344.04,340.54,340.54,340.54,339.59,339.59,,360.97
348.58,345.19,345.19,345.19,353.91,345.19,359.68,408.3,347.24,347.24,347.24,345.19,345.19,344.92,352.73,352.73,,386.18
338.12,336.44,336.44,336.44,337.74,336.44,321.54,380.15,340.98,340.98,340.98,336.44,336.44,336.44,332.32,332.32,,350.81
341.76,337.24,337.24,337.24,337.24,337.24,362.44,368.02,344.18,344.18,344.18,339.18,339.18,339.18,322.47,336.38,,349.09
