SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
152.39,152.24,152.24,152.51,152.51,155.29,152.51,152.51,152.51,152.51,152.51,152.24,152.24,152.24,155.29,258.42,258.42,
144.27,143.54,143.54,143.54,143.54,215.48,131.72,143.54,143.54,141.53,143.54,143.65,143.65,143.65,215.48,291.8,291.8,
154.43,155.88,155.88,155.88,155.88,178.23,108.2,155.88,155.88,147.54,155.88,156.5,156.5,156.5,178.23,333.5,333.5,178.23
176.56,171.82,171.82,175.23,175.23,266.53,155.54,175.23,175.23,170.68,171.9,171.82,171.82,171.82,266.53,412.07,412.07,266.53
209.84,194.24,194.24,194.24,194.24,301.74,181.26,194.24,194.24,181.26,181.26,194.24,194.24,187.39,301.74,424.98,424.98,301.74
277.42,264.54,264.54,264.54,264.54,336.26,237.43,264.54,264.54,237.43,237.43,264.54,264.54,264.54,336.26,397.22,397.22,336.26
359.59,461.58,461.58,461.58,461.58,534.75,221.47,461.58,444.73,221.47,221.47,461.58,461.58,461.58,534.75,545.15,545.15,534.75
304.13,283.04,283.04,283.04,283.04,493.29,237.85,283.04,275.23,249.7,250.57,283.04,283.04,283.04,493.29,538.03,538.03,493.29
246.61,229.48,229.48,229.48,229.48,315.12,226.04,229.48,226.04,226.04,226.04,229.48,229.48,227.96,315.12,772.84,772.84,315.12
204.93,199.41,199.41,199.41,199.41,271.52,196.42,199.49,199.41,199.12,199.12,199.41,199.41,199.25,271.52,426.12,426.12,271.52
309.5,228.9,228.9,301.16,303.38,390.61,301.16,303.38,301.16,301.16,301.16,228.9,228.9,228.42,390.61,810.58,810.58,
290.53,226.2,226.2,283.66,283.77,317.75,273.92,284.05,273.91,273.91,273.91,226.2,226.2,226.2,317.75,615.17,615.17,
310.89,284.1,284.1,319.07,319.07,340.87,270.62,319.07,277.88,269.51,269.51,284.1,284.1,284.1,340.87,695.21,737.22,
398.64,241.35,241.35,517.44,517.44,525.59,279.37,517.44,517.44,279.37,279.37,240.46,240.46,240.46,504.38,522.8,522.8,
390.28,240.65,240.65,542.28,542.28,563.83,315.04,542.28,542.25,317.4,317.4,240.65,240.65,240.65,563.83,592.81,605.49,
251.34,231.96,231.96,261,261,278.33,259.34,261,261,259.34,259.34,231.96,231.96,214.96,278.33,362.3,362.3,278.33
238.04,226.94,226.94,247.29,247.48,258.21,246.89,247.48,247.29,247.29,247.29,226.94,226.94,223.21,258.21,342.17,342.17,258.21
460.8,404.15,404.15,404.15,404.15,530.12,353.69,404.15,404.15,354.78,354.78,401.45,401.45,400.11,530.12,545.49,545.49,
