SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
269.15,263.42,263.42,263.42,263.42,263.42,232.75,232.75,277.92,277.91,277.91,263.41,263.41,263.41,263.42,263.42,263.42
311.07,319.93,319.93,319.93,321.45,319.93,319.69,322.32,319.94,295.89,295.89,298.21,298.21,298.21,319.93,319.93,321.45
301.42,314.42,314.42,314.42,314.42,314.42,271.65,300.63,312.44,288.8,294.37,307.18,307.18,307.18,314.42,314.42,314.42
292.18,301.11,301.11,301.11,301.11,301.11,212.15,232.42,294.57,285.36,287.73,301.11,301.11,301.11,300.88,300.88,300.88
372.71,416.36,416.36,416.36,416.36,416.36,409.23,416.36,414.23,312.19,307.24,313.4,313.4,310.83,415.05,404.84,404.84
306.38,320.9,320.9,320.9,379.08,321.77,306.06,398.65,306.58,296.03,296.94,296.94,296.94,259.89,315.57,314.05,326.18
289.31,296.91,296.91,296.91,296.97,296.91,286.02,296.97,296.91,287.76,287.76,287.76,287.76,250.76,296.91,296.97,296.97
293.23,295.31,295.31,295.31,311.51,295.31,295.25,311.51,295.31,294.21,294.21,294.18,294.18,249.35,295.31,296.04,311.51
295.24,300.04,300.04,300.04,357.42,314.82,291.74,357.42,292.9,291.72,291.72,291.72,291.72,255.92,314.82,366.87,366.87
282.96,282.29,282.29,282.29,293.57,289.14,282.29,293.57,285.2,285.2,285.2,282.29,282.29,256,289.14,326.58,330.66
264.86,260.94,260.94,260.94,260.94,267.01,254.63,255.92,268.98,268.98,268.98,261.14,261.14,254.22,267.01,267.01,267.01
269.14,261.37,261.37,261.37,261.37,285.88,213.33,226.03,276.61,276.61,276.61,267.85,267.85,242.37,285.88,287.32,287.32
311.4,332.66,332.66,332.66,353.07,350.69,324.58,353.07,331.6,298.63,290.25,290.25,290.25,246.65,350.69,353.07,353.07
286.9,292.08,292.08,292.08,292.08,292.37,287.31,291.81,292.07,287.59,286.73,286.73,286.73,242.4,292.37,292.37,292.37
288.9,293.38,293.38,294.1,303.74,294.1,293.94,303.74,292.97,292.97,284.98,283.39,283.39,240.53,294.1,294.1,303.74
404.78,466.66,466.66,488.27,489.85,496.81,486.28,489.85,390.92,339.31,295.54,395.67,395.67,241.86,496.81,496.81,498.38
310.82,308.34,308.34,326.36,474.31,344.48,326.31,474.31,324.79,301.68,291.49,291.16,291.16,243.71,344.48,353.95,474.31
281.71,282.99,282.99,282.99,283.6,310.8,283.6,283.6,283.6,283.6,283.15,277.81,277.81,234.44,310.8,351.47,415.78
273.72,276.66,276.66,276.66,276.66,282.4,277.54,276.66,277.54,277.54,277.2,268.93,268.93,226.42,282.4,373.2,383.13
272.62,273.82,273.82,273.82,273.82,311.06,273.82,273.82,273.98,273.98,273.98,268,268,229.22,311.06,353.15,376.29
270.17,273,273,273,273,273,273,273,273,273,271.88,265.29,265.29,227.28,273,287.33,362.1
273.5,276.3,276.3,276.3,276.3,276.3,276.45,276.45,276.45,276.45,275.29,269.27,269.27,227.65,276.3,283.19,303.11
