Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 12-11-2015,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LV,LT
1/1/2013,00 - 01,266.07,265.98,265.98,265.98,265.98,265.98,120.22,120.22,282.61,282.61,282.61,265.98,265.98,265.98,266.67,266.67,,209.25
1/1/2013,01 - 02,261.1,235.73,235.73,235.73,235.73,235.73,94.77,94.77,282.52,282.52,282.52,264.01,264.01,264.01,262.3,262.3,,202.4
1/1/2013,02 - 03,247.82,209.43,209.43,209.43,209.43,209.43,72.84,72.84,279.26,279.26,279.26,263.67,263.67,263.67,209.43,209.43,,205.06
1/1/2013,03 - 04,238.9,186.89,186.89,186.89,186.89,186.89,0.86,0.86,270.18,270.18,270.18,263.15,263.15,263.15,186.89,186.89,,204.37
1/1/2013,04 - 05,231.02,191.69,191.69,191.69,191.69,191.69,17.22,17.22,261.7,261.7,261.7,262.47,262.47,262.47,191.69,191.69,,199.31
1/1/2013,05 - 06,238.56,218.6,218.6,218.6,218.6,218.6,195.46,195.46,256.47,256.47,256.47,262.04,262.04,262.04,218.6,218.6,,201.71
1/1/2013,06 - 07,246.7,239.33,239.33,239.33,239.33,239.33,239.33,239.33,259.04,259.04,259.04,262.55,262.55,262.55,263.15,263.15,,192.55
1/1/2013,07 - 08,245.33,240.02,240.02,240.02,240.02,240.02,240.02,240.02,254.84,254.84,254.84,263.33,263.33,263.33,264.95,264.95,,244.64
1/1/2013,08 - 09,243.7,238.22,238.22,238.22,238.22,238.22,238.22,238.22,259.64,259.64,259.64,262.47,262.47,262.47,264.61,264.61,,242.85
1/1/2013,09 - 10,242.5,234.36,234.36,234.36,234.36,234.36,234.36,234.36,257.07,257.07,257.07,262.38,262.38,262.38,269.92,269.92,,239.93
1/1/2013,10 - 11,262.64,241.82,241.82,241.82,241.82,241.82,241.82,241.82,275.24,275.24,275.24,264.78,264.78,264.78,272.75,272.75,,240.53
1/1/2013,11 - 12,270.35,259.38,259.38,259.38,259.38,259.38,259.38,259.38,276.86,276.86,276.86,271.98,271.98,271.98,276.26,276.26,,240.45
1/1/2013,12 - 13,275.58,259.38,259.38,259.38,259.38,259.38,259.38,259.38,281.58,281.58,281.58,284.83,284.83,284.83,276.69,276.69,,240.96
1/1/2013,13 - 14,278.06,265.81,265.81,265.81,265.81,265.81,265.81,265.81,282.26,282.26,282.26,285.6,285.6,285.6,277.38,277.38,,240.96
1/1/2013,14 - 15,279.61,277.29,277.29,277.29,277.29,277.29,277.29,277.29,280.55,280.55,280.55,288.86,288.86,288.86,283.03,283.03,,241.82
1/1/2013,15 - 16,288.35,288.26,288.26,288.26,288.26,288.26,288.26,288.26,288.26,288.26,288.26,291.35,291.35,291.35,292.97,292.97,,242.33
1/1/2013,16 - 17,299.06,299.57,299.57,299.57,299.57,299.57,295.03,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,299.57,,242.59
1/1/2013,17 - 18,310.37,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,310.54,,242.5
1/1/2013,18 - 19,314.05,313.54,313.54,313.54,313.54,313.54,318.08,318.08,313.54,313.54,313.54,313.54,313.54,313.54,313.54,313.54,,243.53
1/1/2013,19 - 20,311.65,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,311.4,,240.27
1/1/2013,20 - 21,304.11,303.94,303.94,303.94,303.94,303.94,311.05,303.94,303.94,303.94,303.94,303.94,303.94,303.94,303.94,303.94,,239.85
