Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,,
Data was last updated 10-01-2018,,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
1/1/2016,00 - 01,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,150.41,257.97,257.97,
1/1/2016,01 - 02,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,147.2,
1/1/2016,02 - 03,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,144.45,
1/1/2016,03 - 04,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,142.89,
1/1/2016,04 - 05,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,141.97,
1/1/2016,05 - 06,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,144.54,
1/1/2016,06 - 07,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96,140.96
1/1/2016,07 - 08,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05,141.05
1/1/2016,08 - 09,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,139.4,161.24,161.24,139.4
1/1/2016,09 - 10,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,141.23,321.2,321.2,141.23
1/1/2016,10 - 11,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,144.81,321.75,321.75,144.81
1/1/2016,11 - 12,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,148.21,321.47,321.47,148.21
