Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
1/1/2017,00 - 01,245.77,229.8,229.8,229.8,229.8,229.8,200.44,200.44,271.59,271.59,271.59,229.8,229.8,229.8,229.8,229.8,229.8
1/1/2017,01 - 02,244.91,229.8,229.8,229.8,229.8,229.8,199.87,199.87,269.39,269.39,269.39,229.8,229.8,229.8,229.8,229.8,229.8
1/1/2017,02 - 03,243.76,229.7,229.7,229.7,229.7,229.7,173.38,173.38,268.05,268.05,268.05,229.7,229.7,229.7,229.7,229.7,229.7
1/1/2017,03 - 04,241.47,221.77,221.77,221.77,221.77,221.77,153.29,153.29,267.76,267.76,267.76,221.77,221.77,221.77,221.77,221.77,221.77
1/1/2017,04 - 05,245.1,230.47,230.47,230.47,230.47,230.47,157.12,157.12,267.96,267.96,267.96,230.47,230.47,230.47,230.47,230.47,230.47
1/1/2017,05 - 06,247.49,239.17,239.17,239.17,239.17,239.17,131.49,131.49,269.1,269.1,269.1,239.17,239.17,239.17,239.17,239.17,239.17
1/1/2017,06 - 07,254.18,245,245,245,245,245,106.15,106.15,270.73,270.73,270.73,245,245,245,245,245,245
1/1/2017,07 - 08,254.76,247.39,247.39,247.39,247.39,247.39,147.94,147.94,268.62,268.62,268.62,247.39,247.39,247.39,247.39,247.39,247.39
1/1/2017,08 - 09,255.33,250.36,250.36,250.36,250.36,250.36,161.42,161.42,265.18,265.18,265.18,250.36,250.36,250.36,250.36,250.36,250.36
1/1/2017,09 - 10,257.15,246.15,246.15,246.15,246.15,246.15,208.57,208.57,270.44,270.44,270.44,246.15,246.15,246.15,246.15,246.15,246.15
1/1/2017,10 - 11,265.85,257.15,257.15,257.15,257.15,257.15,250.93,250.93,271.21,271.21,271.21,257.15,257.15,257.15,257.15,257.15,257.15
1/1/2017,11 - 12,268.72,262.79,262.79,262.79,262.79,262.79,262.79,262.79,272.74,272.74,272.74,262.79,262.79,262.79,262.79,262.79,262.79
1/1/2017,12 - 13,271.21,268.15,268.15,268.15,268.15,268.15,268.15,268.15,272.64,272.64,272.64,268.15,268.15,268.15,268.15,268.15,268.15
1/1/2017,13 - 14,274.55,274.46,274.46,274.46,274.46,274.46,274.46,274.46,274.84,274.84,274.84,274.46,274.46,274.46,274.46,274.46,274.46
1/1/2017,14 - 15,283.54,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64,283.64
1/1/2017,15 - 16,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52,290.52
1/1/2017,16 - 17,294.25,294.54,294.54,294.54,294.54,294.54,294.54,294.54,294.54,294.16,294.16,294.16,294.16,294.16,294.54,294.54,294.54
1/1/2017,17 - 18,295.69,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78,295.78
1/1/2017,18 - 19,294.25,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35,294.35
1/1/2017,19 - 20,291.67,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77,291.77
1/1/2017,20 - 21,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71,288.71
1/1/2017,21 - 22,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32,286.32
1/1/2017,22 - 23,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54,283.54
1/1/2017,23 - 00,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77,280.77
2/1/2017,00 - 01,281.34,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15,281.15
2/1/2017,01 - 02,276.85,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47,276.47
2/1/2017,02 - 03,269.87,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82,268.82
2/1/2017,03 - 04,269.87,266.71,266.71,266.71,266.71,266.71,266.71,266.71,270.06,270.06,270.06,266.71,266.71,266.71,266.71,266.71,266.71
2/1/2017,04 - 05,276.56,270.25,270.25,270.25,270.25,270.25,265.18,270.25,277.61,277.61,277.61,270.25,270.25,270.25,270.25,270.25,270.25
2/1/2017,05 - 06,291.38,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
2/1/2017,06 - 07,306.88,314.14,314.14,314.14,314.14,314.14,314.14,314.14,314.14,298.27,298.27,300.95,300.95,300.95,314.14,314.14,314.14
2/1/2017,07 - 08,316.25,324.28,324.28,324.28,324.28,324.28,324.28,324.28,324.28,301.52,301.52,301.52,301.52,301.52,324.28,324.28,324.28
