Elspot Prices in SEK/MWh,,,,,,,,,,,,,,,,,,
Preliminary prices in purple,,,,,,,,,,,,,,,,,,
Data was last updated 23-06-2019,,,,,,,,,,,,,,,,,,
,Hours,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT
1/1/2019,00 - 01,456.32,290.08,290.08,290.08,290.08,290.08,290.08,290.08,499.55,499.55,499.55,464.62,464.62,464.62,290.08,290.08,290.08
1/1/2019,01 - 02,451.4,103.15,103.15,103.15,103.15,103.15,103.15,103.15,504.46,504.46,504.46,464.11,464.11,464.11,103.15,103.15,103.15
1/1/2019,02 - 03,421.19,102.74,102.74,102.74,102.74,102.74,-41.79,-41.79,503.64,503.64,503.64,464.72,464.72,464.72,102.74,102.74,102.74
1/1/2019,03 - 04,398.24,46.71,46.71,46.71,46.71,46.71,-101.51,-101.51,495.45,495.45,495.45,463.08,463.08,463.08,46.71,46.71,46.71
1/1/2019,04 - 05,365.67,49.47,49.47,49.47,49.47,49.47,-75.9,-75.9,483.36,483.36,483.36,459.91,459.91,459.91,49.47,49.47,49.47
1/1/2019,05 - 06,359.42,82.87,82.87,82.87,82.87,82.87,-128.55,-128.55,485.21,485.21,485.21,462.57,462.57,462.57,82.87,82.87,82.87
1/1/2019,06 - 07,369.46,261.6,261.6,261.6,261.6,261.6,-176.69,-176.69,493.3,493.3,493.3,472.91,472.91,472.91,261.6,261.6,261.6
1/1/2019,07 - 08,421.6,401.11,401.11,401.11,401.11,401.11,-154.36,-154.36,502.82,502.82,502.82,472.2,472.2,472.2,401.11,401.11,401.11
1/1/2019,08 - 09,430.92,385.75,385.75,385.75,385.75,385.75,-50.5,-50.5,487.87,487.87,487.87,468.61,468.61,468.61,385.75,385.75,385.75
1/1/2019,09 - 10,421.39,220.43,220.43,220.43,220.43,220.43,-64.84,-64.84,491.56,491.56,491.56,471.28,471.28,471.28,220.43,220.43,220.43
1/1/2019,10 - 11,444.34,289.36,289.36,289.36,289.36,289.36,-50.5,-50.5,503.95,503.95,503.95,480.6,480.6,480.6,289.36,289.36,289.36
1/1/2019,11 - 12,447.21,197.59,197.59,197.59,197.59,197.59,4.61,4.61,505.9,505.9,505.9,485.1,485.1,485.1,197.59,197.59,197.59
1/1/2019,12 - 13,441.26,197.89,197.89,197.89,197.89,197.89,1.23,1.23,503.95,503.95,503.95,487.05,487.05,487.05,197.89,197.89,197.89
1/1/2019,13 - 14,421.7,166.04,166.04,166.04,166.04,166.04,-0.2,-0.2,503.23,503.23,503.23,488.69,488.69,488.69,166.04,166.04,166.04
1/1/2019,14 - 15,420.27,219.92,219.92,219.92,219.92,219.92,0,0,495.04,495.04,495.04,489.61,489.61,489.61,219.92,219.92,219.92
1/1/2019,15 - 16,440.55,334.84,334.84,334.84,334.84,334.84,-0.31,-0.31,496.27,496.27,496.27,492.48,492.48,492.48,334.84,334.84,334.84
1/1/2019,16 - 17,457.45,300.53,300.53,300.53,300.53,300.53,20.18,20.18,501.7,501.7,501.7,492.99,492.99,492.99,300.53,300.53,300.53
1/1/2019,17 - 18,466.15,309.23,309.23,309.23,309.23,309.23,92.8,92.8,506.51,506.51,506.51,493.2,493.2,493.2,309.23,309.23,309.23
1/1/2019,18 - 19,455.3,308.21,308.21,308.21,308.21,308.21,0.72,0.72,500.78,500.78,500.78,492.17,492.17,492.17,308.21,308.21,308.21
1/1/2019,19 - 20,440.34,302.98,302.98,302.98,302.98,302.98,-50.91,-50.91,500.98,500.98,500.98,489.2,489.2,489.2,302.98,302.98,302.98
1/1/2019,20 - 21,451.2,378.07,378.07,378.07,378.07,378.07,-71.5,-71.5,505.08,505.08,505.08,488.28,488.28,488.28,378.07,378.07,378.07
1/1/2019,21 - 22,421.19,339.45,339.45,339.45,339.45,339.45,-163.99,-163.99,502.93,502.93,502.93,487.25,487.25,487.25,339.45,339.45,339.45
1/1/2019,22 - 23,442.39,221.35,221.35,221.35,221.35,221.35,-49.88,-49.88,506.2,506.2,506.2,486.33,486.33,486.33,221.35,221.35,221.35
1/1/2019,23 - 00,343.65,41.38,41.38,41.38,41.38,41.38,-296.33,-296.33,503.13,503.13,503.13,483.57,483.57,483.57,41.38,41.38,41.38
2/1/2019,00 - 01,404.29,98.98,98.98,98.98,98.98,98.98,-342.56,-342.56,501.64,501.64,501.64,480.52,480.52,480.52,98.98,98.98,98.98
2/1/2019,01 - 02,318.78,64.49,64.49,64.49,64.49,64.49,-468.58,-468.58,491.24,491.24,491.24,481.13,481.13,481.13,64.49,64.49,21.94
2/1/2019,02 - 03,305.82,44.39,44.39,44.39,44.39,44.39,-492.77,-492.77,491.24,491.24,491.24,479.3,479.3,479.3,44.39,44.39,11.94
2/1/2019,03 - 04,305.11,89.9,89.9,89.9,89.9,89.9,-342.86,-342.86,482.05,482.05,482.05,480.62,480.62,480.62,89.9,89.9,89.9
2/1/2019,04 - 05,364.4,231.33,231.33,231.33,231.33,231.33,-342.25,-342.25,485.01,485.01,485.01,481.85,481.85,481.85,231.33,231.33,231.33
2/1/2019,05 - 06,439.91,441.64,441.64,441.64,441.64,441.64,-181.53,-181.53,489.6,489.6,489.6,485.93,485.93,485.93,441.64,441.64,441.64
2/1/2019,06 - 07,480.93,455.52,455.52,455.52,455.52,455.52,-0.1,-0.1,504.5,504.5,504.5,489.3,489.3,489.3,455.52,455.52,455.52
2/1/2019,07 - 08,506.95,506.54,506.54,506.54,506.54,506.54,381.95,381.95,511.34,511.34,511.34,506.54,506.54,506.54,506.54,506.54,506.54
2/1/2019,08 - 09,512.36,509.81,509.81,509.81,509.81,509.81,490.42,490.42,517.77,517.77,517.77,509.81,509.81,509.81,509.81,509.81,509.81
2/1/2019,09 - 10,517.56,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77,517.77
2/1/2019,10 - 11,511.95,510.11,510.11,510.11,510.11,510.11,490.93,490.93,517.26,517.26,517.26,510.11,510.11,510.11,510.11,510.11,510.11
2/1/2019,11 - 12,512.05,512.77,512.77,512.77,512.77,512.77,496.54,496.54,512.97,512.97,512.97,512.77,512.77,512.77,512.77,512.77,512.77
2/1/2019,12 - 13,509.4,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6,509.6
2/1/2019,13 - 14,510.01,509.91,509.91,509.91,509.91,509.91,482.26,482.26,511.34,511.34,511.34,509.91,509.91,509.91,509.91,509.91,509.91
2/1/2019,14 - 15,519.4,519.7,519.7,519.7,519.7,519.7,506.54,519.7,519.7,519.7,519.7,519.7,519.7,519.7,519.7,519.7,519.7
2/1/2019,15 - 16,534.91,534.5,534.5,534.5,534.5,534.5,547.66,534.5,534.5,534.5,534.5,534.5,534.5,534.5,534.5,534.5,534.5
2/1/2019,16 - 17,559.6,557.87,557.87,557.87,557.87,557.87,571.54,571.54,557.87,557.87,557.87,557.87,557.87,557.87,557.87,557.87,557.87
2/1/2019,17 - 18,565.93,567.15,567.15,567.15,567.15,567.15,581.13,581.13,567.15,567.15,567.15,567.15,567.15,567.15,567.15,567.15,567.15
2/1/2019,18 - 19,565.62,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22,565.22
2/1/2019,19 - 20,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22,560.22
2/1/2019,20 - 21,548.99,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6,549.6
2/1/2019,21 - 22,537.46,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87,537.87
2/1/2019,22 - 23,530.93,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,531.54,498.38
2/1/2019,23 - 00,517.77,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,517.97,398.07
3/1/2019,00 - 01,508.27,508.48,508.48,508.48,508.48,508.48,438.13,438.13,510.83,510.83,510.83,508.48,508.48,508.48,508.48,508.48,411.38
3/1/2019,01 - 02,496.53,499.19,499.19,499.19,499.19,499.19,461.71,461.71,499.19,499.19,499.19,499.19,499.19,499.19,499.19,499.19,378.3
3/1/2019,02 - 03,493.06,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,493.26,361.14
3/1/2019,03 - 04,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,494.18,367.88
3/1/2019,04 - 05,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,498.17,391.57
3/1/2019,05 - 06,505.31,506.54,506.54,506.54,506.54,506.54,468.86,468.86,506.54,506.54,506.54,506.54,506.54,506.54,506.54,506.54,506.54
3/1/2019,06 - 07,523.08,522.47,522.47,522.47,522.47,526.35,521.45,521.45,522.47,522.47,522.47,522.47,522.47,522.47,526.35,526.35,522.47
3/1/2019,07 - 08,551.06,550.44,550.44,550.44,550.44,582.91,538.8,550.44,550.44,550.44,550.44,550.44,550.44,550.44,582.91,582.91,550.44
3/1/2019,08 - 09,583.12,561.16,561.16,600.98,600.98,600.98,642.13,630.59,600.98,600.98,578.62,561.16,561.16,561.16,600.98,600.98,600.98
3/1/2019,09 - 10,582.81,554.12,554.12,603.84,603.84,603.84,612.93,612.93,603.84,603.84,579.54,554.12,554.12,554.12,603.84,603.84,603.84
3/1/2019,10 - 11,576.27,549.22,549.22,594.14,594.14,594.14,594.14,594.14,594.14,594.14,579.75,549.22,549.22,549.22,594.14,594.14,594.14
3/1/2019,11 - 12,582.91,543.7,543.7,627.63,627.63,627.63,627.63,627.63,627.63,627.63,578.73,543.7,543.7,543.7,627.63,627.63,627.63
3/1/2019,12 - 13,580.36,542.68,542.68,633.04,633.04,633.04,633.04,633.04,633.04,633.04,578.11,542.68,542.68,542.68,633.04,633.04,633.04
3/1/2019,13 - 14,581.48,537.17,537.17,644.48,644.48,644.48,644.48,644.48,644.48,644.48,577.91,537.17,537.17,537.17,644.48,644.48,644.48
3/1/2019,14 - 15,581.28,537.37,537.37,650.1,650.1,650.1,650.1,650.1,650.1,650.1,578.01,537.37,537.37,537.37,650.1,650.1,650.1
3/1/2019,15 - 16,584.44,537.99,537.99,675.21,675.21,675.21,675.21,675.21,675.21,675.21,578.62,537.99,537.99,537.99,675.21,675.21,675.21
3/1/2019,16 - 17,588.94,539.62,539.62,698.49,698.49,698.49,698.49,698.49,698.49,698.49,579.24,539.62,539.62,539.62,698.49,698.49,698.49
3/1/2019,17 - 18,588.43,536.86,536.86,710.13,710.13,710.13,710.13,710.13,710.13,710.13,578.52,536.86,536.86,536.86,710.13,710.13,710.13
3/1/2019,18 - 19,581.99,533.29,533.29,670.52,670.52,670.52,670.52,670.52,670.52,670.52,577.6,533.29,533.29,533.29,670.52,670.52,670.52
3/1/2019,19 - 20,574.13,534.31,534.31,628.04,628.04,628.04,628.04,628.04,628.04,628.04,577.19,534.31,534.31,534.31,628.04,628.04,628.04
3/1/2019,20 - 21,563.61,544.62,544.62,572.19,588.12,572.19,572.19,588.12,572.19,572.19,572.19,544.62,544.62,544.62,588.12,588.12,588.12
3/1/2019,21 - 22,551.57,552.08,552.08,555.85,555.85,555.85,555.85,555.85,555.85,555.85,555.85,552.08,552.08,552.08,555.85,555.85,555.85
3/1/2019,22 - 23,530.53,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86,531.86
3/1/2019,23 - 00,509.5,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32,510.32
4/1/2019,00 - 01,514.11,513.19,513.19,513.19,513.19,513.19,513.19,513.19,514.32,514.32,514.32,513.19,513.19,513.19,513.19,513.19,513.19
4/1/2019,01 - 02,496.72,493.64,493.64,493.64,493.64,493.64,484.79,493.64,500.84,500.84,500.84,493.64,493.64,493.64,493.64,493.64,493.64
4/1/2019,02 - 03,486.23,484.37,484.37,484.37,484.37,484.37,484.37,484.37,490.96,490.96,490.96,484.37,484.37,484.37,484.37,484.37,484.37
4/1/2019,03 - 04,485.61,484.17,484.17,484.17,484.17,484.17,483.04,483.04,490.24,490.24,490.24,484.17,484.17,484.17,484.17,484.17,484.17
4/1/2019,04 - 05,488.8,488.08,488.08,488.08,488.08,488.08,483.65,483.65,488.08,488.08,488.08,488.08,488.08,488.08,488.08,488.08,488.08
4/1/2019,05 - 06,499.19,499.91,499.91,499.91,499.91,499.91,482.73,482.73,499.91,499.91,499.91,499.91,499.91,499.91,499.91,499.91,499.91
4/1/2019,06 - 07,524.61,523.48,523.48,523.48,523.48,526.87,510.31,523.48,523.48,523.48,523.48,523.48,523.48,523.48,526.87,526.87,526.87
4/1/2019,07 - 08,541.18,534.69,534.69,538.4,555.58,594.48,568.76,555.58,538.4,538.4,538.4,534.69,534.69,534.69,594.48,594.48,594.48
4/1/2019,08 - 09,553.83,541.38,541.38,560.21,560.21,617.84,560.21,560.21,560.21,560.21,560.21,541.38,541.38,541.38,617.84,617.84,617.84
4/1/2019,09 - 10,553.83,547.35,547.35,557.54,557.54,616.81,557.54,557.54,557.54,557.54,557.54,547.35,547.35,547.35,616.81,616.81,616.81
4/1/2019,10 - 11,554.04,550.85,550.85,554.66,554.66,616.61,554.66,554.66,554.66,554.66,554.66,550.85,550.85,550.85,616.61,616.61,616.61
4/1/2019,11 - 12,548.07,545.5,545.5,545.5,545.5,596.75,545.5,545.5,545.5,545.5,545.5,545.5,545.5,545.5,596.75,596.75,596.75
4/1/2019,12 - 13,534.28,532.43,532.43,532.43,532.43,601.27,532.43,532.43,532.43,532.43,532.43,532.43,532.43,532.43,601.27,601.27,601.27
4/1/2019,13 - 14,534.08,530.99,530.99,530.99,530.99,596.64,530.99,530.99,530.99,530.99,530.99,530.99,530.99,530.99,596.64,596.64,596.64
4/1/2019,14 - 15,532.64,529.03,529.03,529.03,529.03,600.66,529.03,529.03,529.03,529.03,529.03,529.03,529.03,529.03,600.66,600.66,600.66
4/1/2019,15 - 16,535,531.92,531.92,531.92,531.92,624.32,531.92,531.92,531.92,531.92,531.92,531.92,531.92,531.92,624.32,624.32,624.32
4/1/2019,16 - 17,546.12,541.18,541.18,541.18,541.18,616.92,541.18,541.18,541.18,541.18,541.18,541.18,541.18,541.18,616.92,616.92,616.92
4/1/2019,17 - 18,552.29,548.9,548.9,548.9,548.9,616.61,548.9,548.9,548.9,548.9,548.9,548.9,548.9,548.9,616.61,616.61,616.61
4/1/2019,18 - 19,547.04,543.44,543.44,543.44,543.44,592.53,543.44,543.44,543.44,543.44,543.44,543.44,543.44,543.44,592.53,592.53,592.53
4/1/2019,19 - 20,535,532.94,532.94,532.94,532.94,608.17,533.97,532.94,532.94,532.94,532.94,532.94,532.94,532.94,608.17,608.17,608.17
4/1/2019,20 - 21,526.15,525.23,525.23,525.23,525.23,557.95,479.33,525.23,525.23,525.23,525.23,525.23,525.23,525.23,557.95,557.95,557.95
