Date,Hours,SE1
1/1/2018,00 - 01,258.86
1/1/2018,01 - 02,259.85
1/1/2018,02 - 03,256.6
1/1/2018,03 - 04,242.84
1/1/2018,04 - 05,243.23
1/1/2018,05 - 06,177.07
1/1/2018,06 - 07,174.8
1/1/2018,07 - 08,175
1/1/2018,08 - 09,194.27
1/1/2018,09 - 10,203.81
1/1/2018,10 - 11,243.43
1/1/2018,11 - 12,252.47
1/1/2018,12 - 13,236.84
1/1/2018,13 - 14,245.89
1/1/2018,14 - 15,253.75
1/1/2018,15 - 16,260.14
1/1/2018,16 - 17,265.75
1/1/2018,17 - 18,269.68
1/1/2018,18 - 19,268.3
1/1/2018,19 - 20,265.06
1/1/2018,20 - 21,262.5
1/1/2018,21 - 22,260.24
1/1/2018,22 - 23,256.5
1/1/2018,23 - 00,244.61
2/1/2018,00 - 01,248.54
2/1/2018,01 - 02,227.7
2/1/2018,02 - 03,243.62
2/1/2018,03 - 04,246.08
2/1/2018,04 - 05,252.96
2/1/2018,05 - 06,263.88
2/1/2018,06 - 07,273.32
2/1/2018,07 - 08,299.86
2/1/2018,08 - 09,313.92
2/1/2018,09 - 10,329.65
2/1/2018,10 - 11,344.5
2/1/2018,11 - 12,346.27
2/1/2018,12 - 13,339.78
2/1/2018,13 - 14,335.25
2/1/2018,14 - 15,353.74
2/1/2018,15 - 16,374.09
2/1/2018,16 - 17,409.68
2/1/2018,17 - 18,416.76
2/1/2018,18 - 19,371.53
2/1/2018,19 - 20,331.32
2/1/2018,20 - 21,303.6
2/1/2018,21 - 22,283.64
2/1/2018,22 - 23,275.18
2/1/2018,23 - 00,271.35
3/1/2018,00 - 01,266.13
3/1/2018,01 - 02,261.12
3/1/2018,02 - 03,257.69
3/1/2018,03 - 04,257.39
3/1/2018,04 - 05,259.26
3/1/2018,05 - 06,269.56
3/1/2018,06 - 07,277.81
3/1/2018,07 - 08,284.09
3/1/2018,08 - 09,286.54
3/1/2018,09 - 10,287.32
3/1/2018,10 - 11,288.7
3/1/2018,11 - 12,287.03
3/1/2018,12 - 13,286.83
3/1/2018,13 - 14,289.39
3/1/2018,14 - 15,293.02
3/1/2018,15 - 16,299.39
3/1/2018,16 - 17,307.44
3/1/2018,17 - 18,309.99
3/1/2018,18 - 19,302.04
3/1/2018,19 - 20,295.86
3/1/2018,20 - 21,288.21
3/1/2018,21 - 22,283.89
3/1/2018,22 - 23,276.04
3/1/2018,23 - 00,267.99
4/1/2018,00 - 01,265.69
4/1/2018,01 - 02,263.04
4/1/2018,02 - 03,259.99
4/1/2018,03 - 04,260.19
4/1/2018,04 - 05,261.27
4/1/2018,05 - 06,265.3
4/1/2018,06 - 07,275.41
4/1/2018,07 - 08,298.89
4/1/2018,08 - 09,322.46
4/1/2018,09 - 10,343.48
4/1/2018,10 - 11,368.82
4/1/2018,11 - 12,353.8
4/1/2018,12 - 13,348.98
4/1/2018,13 - 14,346.72
4/1/2018,14 - 15,351.93
4/1/2018,15 - 16,371.57
4/1/2018,16 - 17,383.36
4/1/2018,17 - 18,370.4
4/1/2018,18 - 19,344.07
4/1/2018,19 - 20,313.03
4/1/2018,20 - 21,302.33
4/1/2018,21 - 22,297.32
4/1/2018,22 - 23,291.03
4/1/2018,23 - 00,275.51
5/1/2018,00 - 01,269.01
5/1/2018,01 - 02,264.59
5/1/2018,02 - 03,260.37
5/1/2018,03 - 04,260.37
5/1/2018,04 - 05,264.1
5/1/2018,05 - 06,271.77
5/1/2018,06 - 07,281.49
5/1/2018,07 - 08,299.08
5/1/2018,08 - 09,319.61
5/1/2018,09 - 10,329.34
5/1/2018,10 - 11,327.28
5/1/2018,11 - 12,324.04
5/1/2018,12 - 13,323.05
5/1/2018,13 - 14,322.66
5/1/2018,14 - 15,322.95
5/1/2018,15 - 16,329.14
5/1/2018,16 - 17,344.86
5/1/2018,17 - 18,366.48
5/1/2018,18 - 19,334.06
5/1/2018,19 - 20,316.86
5/1/2018,20 - 21,309.59
5/1/2018,21 - 22,307.04
5/1/2018,22 - 23,299.08
5/1/2018,23 - 00,291.22
6/1/2018,00 - 01,289.28
6/1/2018,01 - 02,280.44
6/1/2018,02 - 03,276.81
6/1/2018,03 - 04,275.04
6/1/2018,04 - 05,276.51
6/1/2018,05 - 06,281.91
6/1/2018,06 - 07,289.58
6/1/2018,07 - 08,298.12
6/1/2018,08 - 09,298.42
6/1/2018,09 - 10,303.52
6/1/2018,10 - 11,313.25
6/1/2018,11 - 12,322.78
6/1/2018,12 - 13,316
6/1/2018,13 - 14,312.27
6/1/2018,14 - 15,312.07
6/1/2018,15 - 16,324.64
6/1/2018,16 - 17,358.24
6/1/2018,17 - 18,358.83
6/1/2018,18 - 19,338.4
6/1/2018,19 - 20,313.64
6/1/2018,20 - 21,305.1
6/1/2018,21 - 22,301.76
6/1/2018,22 - 23,294.49
6/1/2018,23 - 00,285.16
7/1/2018,00 - 01,270.5
7/1/2018,01 - 02,254.02
7/1/2018,02 - 03,253.93
7/1/2018,03 - 04,256.57
7/1/2018,04 - 05,260.89
7/1/2018,05 - 06,266.19
7/1/2018,06 - 07,269.03
7/1/2018,07 - 08,271.58
7/1/2018,08 - 09,273.93
7/1/2018,09 - 10,277.86
7/1/2018,10 - 11,282.37
7/1/2018,11 - 12,283.94
7/1/2018,12 - 13,284.04
7/1/2018,13 - 14,277.27
7/1/2018,14 - 15,277.47
7/1/2018,15 - 16,280.7
7/1/2018,16 - 17,288.16
7/1/2018,17 - 18,302.87
7/1/2018,18 - 19,309.05
7/1/2018,19 - 20,305.22
7/1/2018,20 - 21,293.84
7/1/2018,21 - 22,283.84
7/1/2018,22 - 23,283.45
7/1/2018,23 - 00,270.4
8/1/2018,00 - 01,245.49
8/1/2018,01 - 02,235
8/1/2018,02 - 03,234.6
8/1/2018,03 - 04,249.91
8/1/2018,04 - 05,256.18
8/1/2018,05 - 06,274.23
8/1/2018,06 - 07,290.51
8/1/2018,07 - 08,321.01
8/1/2018,08 - 09,323.46
8/1/2018,09 - 10,327
8/1/2018,10 - 11,324.25
8/1/2018,11 - 12,325.13
8/1/2018,12 - 13,324.25
8/1/2018,13 - 14,322.68
8/1/2018,14 - 15,324.05
8/1/2018,15 - 16,325.62
8/1/2018,16 - 17,327.58
8/1/2018,17 - 18,322.68
8/1/2018,18 - 19,318.76
8/1/2018,19 - 20,305.61
8/1/2018,20 - 21,291.1
8/1/2018,21 - 22,283.64
8/1/2018,22 - 23,279.43
8/1/2018,23 - 00,275.5
9/1/2018,00 - 01,266.59
9/1/2018,01 - 02,248.14
9/1/2018,02 - 03,248.24
9/1/2018,03 - 04,260.8
9/1/2018,04 - 05,267.47
9/1/2018,05 - 06,277.18
9/1/2018,06 - 07,284.44
9/1/2018,07 - 08,309.46
9/1/2018,08 - 09,319.18
9/1/2018,09 - 10,316.53
9/1/2018,10 - 11,315.25
9/1/2018,11 - 12,317.12
9/1/2018,12 - 13,314.37
9/1/2018,13 - 14,312.02
9/1/2018,14 - 15,308.78
9/1/2018,15 - 16,308.09
9/1/2018,16 - 17,316.43
9/1/2018,17 - 18,322.51
9/1/2018,18 - 19,318.29
9/1/2018,19 - 20,309.07
9/1/2018,20 - 21,300.14
9/1/2018,21 - 22,295.83
9/1/2018,22 - 23,286.8
9/1/2018,23 - 00,280.23
10/1/2018,00 - 01,283.72
10/1/2018,01 - 02,278.12
10/1/2018,02 - 03,274.68
10/1/2018,03 - 04,270.94
10/1/2018,04 - 05,275.56
10/1/2018,05 - 06,296.5
10/1/2018,06 - 07,329.61
10/1/2018,07 - 08,432.51
10/1/2018,08 - 09,471.52
10/1/2018,09 - 10,471.52
10/1/2018,10 - 11,472.11
10/1/2018,11 - 12,469.56
10/1/2018,12 - 13,462.78
10/1/2018,13 - 14,433.88
10/1/2018,14 - 15,451.77
10/1/2018,15 - 16,460.22
10/1/2018,16 - 17,480.56
10/1/2018,17 - 18,510.05
10/1/2018,18 - 19,517.81
10/1/2018,19 - 20,441.65
10/1/2018,20 - 21,390.35
10/1/2018,21 - 22,351.92
10/1/2018,22 - 23,313.69
10/1/2018,23 - 00,298.17
11/1/2018,00 - 01,304.58
11/1/2018,01 - 02,294.95
11/1/2018,02 - 03,293.28
11/1/2018,03 - 04,294.36
11/1/2018,04 - 05,303.99
11/1/2018,05 - 06,326.48
11/1/2018,06 - 07,364.1
11/1/2018,07 - 08,504.55
11/1/2018,08 - 09,546.59
11/1/2018,09 - 10,541.28
11/1/2018,10 - 11,541.48
11/1/2018,11 - 12,535.98
11/1/2018,12 - 13,519.19
11/1/2018,13 - 14,460.35
11/1/2018,14 - 15,490.21
11/1/2018,15 - 16,513.49
11/1/2018,16 - 17,538.34
11/1/2018,17 - 18,553.76
11/1/2018,18 - 19,548.75
11/1/2018,19 - 20,393.47
11/1/2018,20 - 21,345.14
11/1/2018,21 - 22,325.5
11/1/2018,22 - 23,304.97
11/1/2018,23 - 00,295.25
12/1/2018,00 - 01,293.51
12/1/2018,01 - 02,287.83
