Date,Hours,SE1,SE2,SE3,SE4
1/1/2018,00 - 01,258.86,258.86,258.86,258.86
1/1/2018,01 - 02,259.85,259.85,259.85,259.85
1/1/2018,02 - 03,256.6,256.6,256.6,256.6
1/1/2018,03 - 04,242.84,242.84,242.84,242.84
1/1/2018,04 - 05,243.23,243.23,243.23,243.23
1/1/2018,05 - 06,177.07,177.07,177.07,177.07
1/1/2018,06 - 07,174.8,174.8,174.8,174.8
1/1/2018,07 - 08,175,175,175,175
1/1/2018,08 - 09,194.27,194.27,194.27,194.27
1/1/2018,09 - 10,203.81,203.81,203.81,203.81
1/1/2018,10 - 11,243.43,243.43,243.43,243.43
1/1/2018,11 - 12,252.47,252.47,252.47,252.47
1/1/2018,12 - 13,236.84,236.84,236.84,236.84
1/1/2018,13 - 14,245.89,245.89,245.89,245.89
1/1/2018,14 - 15,253.75,253.75,253.75,253.75
1/1/2018,15 - 16,260.14,260.14,260.14,260.14
1/1/2018,16 - 17,265.75,265.75,265.75,265.75
1/1/2018,17 - 18,269.68,269.68,269.68,269.68
1/1/2018,18 - 19,268.3,268.3,268.3,268.3
1/1/2018,19 - 20,265.06,265.06,265.06,265.06
1/1/2018,20 - 21,262.5,262.5,262.5,262.5
1/1/2018,21 - 22,260.24,260.24,260.24,260.24
1/1/2018,22 - 23,256.5,256.5,256.5,256.5
1/1/2018,23 - 00,244.61,244.61,244.61,244.61
2/1/2018,00 - 01,248.54,248.54,248.54,248.54
2/1/2018,01 - 02,227.7,227.7,227.7,227.7
2/1/2018,02 - 03,243.62,243.62,243.62,243.62
2/1/2018,03 - 04,246.08,246.08,246.08,246.08
2/1/2018,04 - 05,252.96,252.96,252.96,252.96
2/1/2018,05 - 06,263.88,263.88,263.88,263.88
2/1/2018,06 - 07,273.32,273.32,273.32,273.32
2/1/2018,07 - 08,299.86,299.86,299.86,299.86
2/1/2018,08 - 09,313.92,313.92,313.92,313.92
2/1/2018,09 - 10,329.65,329.65,329.65,329.65
2/1/2018,10 - 11,344.5,344.5,344.5,344.5
2/1/2018,11 - 12,346.27,346.27,346.27,346.27
2/1/2018,12 - 13,339.78,339.78,339.78,339.78
2/1/2018,13 - 14,335.25,335.25,335.25,335.25
2/1/2018,14 - 15,353.74,353.74,353.74,353.74
2/1/2018,15 - 16,374.09,374.09,374.09,374.09
2/1/2018,16 - 17,409.68,409.68,409.68,409.68
2/1/2018,17 - 18,416.76,416.76,416.76,416.76
2/1/2018,18 - 19,371.53,371.53,371.53,371.53
2/1/2018,19 - 20,331.32,331.32,331.32,335.06
2/1/2018,20 - 21,303.6,303.6,303.6,303.6
2/1/2018,21 - 22,283.64,283.64,283.64,283.64
2/1/2018,22 - 23,275.18,275.18,275.18,275.18
2/1/2018,23 - 00,271.35,271.35,271.35,271.35
