Production SE areas in MWh,,,,,,
Data was last updated 14-12-2018,,,,,,
,Hours,SE1,SE2,SE3,SE4,SE
1/1/2018,00 - 01,1842,3381,11752,1054,18029
1/1/2018,01 - 02,1315,3067,11573,1034,16989
1/1/2018,02 - 03,1309,3051,11522,1028,16910
1/1/2018,03 - 04,1284,2945,11425,1021,16674
1/1/2018,04 - 05,1250,2925,11313,1051,16539
1/1/2018,05 - 06,1438,2927,11264,1116,16745
1/1/2018,06 - 07,1651,3049,11243,1191,17134
1/1/2018,07 - 08,1680,3420,11252,1290,17642
1/1/2018,08 - 09,1868,3565,11265,1412,18110
1/1/2018,09 - 10,1909,3793,11306,1510,18518
1/1/2018,10 - 11,2276,4186,11332,1582,19377
1/1/2018,11 - 12,2438,4416,11346,1600,19800
1/1/2018,12 - 13,2264,4783,11392,1594,20033
1/1/2018,13 - 14,2328,4782,11418,1574,20101
1/1/2018,14 - 15,2512,4809,11426,1583,20330
1/1/2018,15 - 16,2812,4924,11471,1682,20889
1/1/2018,16 - 17,3040,5080,11511,1702,21333
1/1/2018,17 - 18,3111,5162,11564,1706,21543
1/1/2018,18 - 19,3057,5075,11653,1697,21481
1/1/2018,19 - 20,2968,4981,11702,1691,21341
1/1/2018,20 - 21,2799,4835,11720,1670,21024
1/1/2018,21 - 22,2801,4744,11737,1603,20886
1/1/2018,22 - 23,2541,4526,11719,1541,20326
1/1/2018,23 - 00,1866,3741,11693,1481,18780
2/1/2018,00 - 01,1371,2992,11449,1490,17302
2/1/2018,01 - 02,1347,2664,11447,1433,16891
2/1/2018,02 - 03,1342,2592,11414,1404,16751
2/1/2018,03 - 04,1334,2583,11386,1390,16693
2/1/2018,04 - 05,1862,2824,11413,1375,17473
2/1/2018,05 - 06,2180,3076,11428,1358,18042
2/1/2018,06 - 07,2861,4144,10375,1329,18708
2/1/2018,07 - 08,3481,5645,10640,1289,21054
2/1/2018,08 - 09,3720,6023,10850,1236,21830
2/1/2018,09 - 10,3788,6360,10857,1134,22140
2/1/2018,10 - 11,3880,6548,10891,1093,22412
2/1/2018,11 - 12,3897,6670,10787,1068,22422
2/1/2018,12 - 13,3898,6793,10735,1040,22466
2/1/2018,13 - 14,3936,6741,10701,1052,22430
2/1/2018,14 - 15,3845,6808,10684,1026,22363
2/1/2018,15 - 16,3908,6827,10633,1025,22392
2/1/2018,16 - 17,3920,7029,10520,987,22456
2/1/2018,17 - 18,3872,7117,10698,977,22664
2/1/2018,18 - 19,3775,7122,10699,980,22575
2/1/2018,19 - 20,3640,6857,10607,942,22046
2/1/2018,20 - 21,3561,6332,10293,922,21107
2/1/2018,21 - 22,3242,5755,10185,932,20115
2/1/2018,22 - 23,2818,4802,10078,928,18625
2/1/2018,23 - 00,2341,4010,10008,924,17283
3/1/2018,00 - 01,1451,3477,9868,907,15704
3/1/2018,01 - 02,1421,3215,9819,951,15405
3/1/2018,02 - 03,1408,3155,9805,1017,15385
3/1/2018,03 - 04,1423,3075,9816,1084,15398
3/1/2018,04 - 05,1446,3246,9869,1178,15739
3/1/2018,05 - 06,1524,3575,9995,1297,16391
3/1/2018,06 - 07,2003,4432,10138,1417,17990
3/1/2018,07 - 08,2495,5360,10301,1535,19691
3/1/2018,08 - 09,2842,5884,10459,1619,20803
3/1/2018,09 - 10,2821,5811,10558,1694,20883
3/1/2018,10 - 11,2882,5994,10707,1808,21392
3/1/2018,11 - 12,2889,6098,10761,1796,21544
3/1/2018,12 - 13,2915,5926,10871,1811,21522
3/1/2018,13 - 14,3039,5656,10939,1793,21427
3/1/2018,14 - 15,3281,5814,11098,1719,21912
3/1/2018,15 - 16,3384,5739,11334,1599,22055
3/1/2018,16 - 17,3546,5901,11385,1490,22321
3/1/2018,17 - 18,3553,6007,11427,1418,22405
3/1/2018,18 - 19,3364,5928,11399,1367,22058
3/1/2018,19 - 20,3193,5719,11405,1275,21592
3/1/2018,20 - 21,2974,5299,11166,1179,20618
3/1/2018,21 - 22,2655,5051,11077,1082,19865
3/1/2018,22 - 23,2266,4518,11028,1027,18839
3/1/2018,23 - 00,1927,3947,11002,969,17845
4/1/2018,00 - 01,1553,3435,11095,836,16919
4/1/2018,01 - 02,1516,3549,11186,800,17051
4/1/2018,02 - 03,1516,3437,11150,770,16873
4/1/2018,03 - 04,1627,3512,11051,742,16931
4/1/2018,04 - 05,1749,3548,11007,725,17029
4/1/2018,05 - 06,1786,3743,11372,722,17623
4/1/2018,06 - 07,2153,4666,11642,722,19183
4/1/2018,07 - 08,3474,6210,11909,715,22308
4/1/2018,08 - 09,3938,6896,11793,742,23369
4/1/2018,09 - 10,3655,6910,11878,751,23193
4/1/2018,10 - 11,3775,6971,12017,752,23515
4/1/2018,11 - 12,3509,6932,12104,752,23298
4/1/2018,12 - 13,3625,6979,12178,786,23569
4/1/2018,13 - 14,3696,7054,12157,805,23712
4/1/2018,14 - 15,3577,7161,12096,821,23655
4/1/2018,15 - 16,3812,7135,12194,813,23954
4/1/2018,16 - 17,3878,7272,11993,835,23978
4/1/2018,17 - 18,3850,7326,11997,841,24013
4/1/2018,18 - 19,3573,7133,12009,840,23555
4/1/2018,19 - 20,3604,7041,11844,831,23320
4/1/2018,20 - 21,3615,6711,11867,811,23003
4/1/2018,21 - 22,3049,6360,11749,799,21957
4/1/2018,22 - 23,2950,5860,11723,780,21313
4/1/2018,23 - 00,2063,4964,11607,766,19399
5/1/2018,00 - 01,1663,4135,11469,745,18012
5/1/2018,01 - 02,1683,4127,11442,728,17981
5/1/2018,02 - 03,1702,4114,11426,714,17956
5/1/2018,03 - 04,1715,4028,11412,697,17853
5/1/2018,04 - 05,2084,4357,11435,692,18568
5/1/2018,05 - 06,2131,4618,11450,687,18886
5/1/2018,06 - 07,2473,5471,11496,693,20133
5/1/2018,07 - 08,3600,6509,11605,710,22424
5/1/2018,08 - 09,4016,7082,11816,703,23617
5/1/2018,09 - 10,4025,7157,11845,701,23728
5/1/2018,10 - 11,4031,7397,11918,710,24056
5/1/2018,11 - 12,4013,7488,11936,720,24157
5/1/2018,12 - 13,4004,7533,11897,739,24174
5/1/2018,13 - 14,4003,7551,11866,749,24168
5/1/2018,14 - 15,3993,7434,11895,774,24096
5/1/2018,15 - 16,4027,7533,11926,775,24260
5/1/2018,16 - 17,4083,7577,12023,775,24459
5/1/2018,17 - 18,4132,7522,12011,784,24449
5/1/2018,18 - 19,4067,7458,11992,794,24310
5/1/2018,19 - 20,3923,7310,11803,803,23839
5/1/2018,20 - 21,3385,6826,11616,824,22651
5/1/2018,21 - 22,3311,6517,11566,830,22223
5/1/2018,22 - 23,3074,5883,11495,841,21294
5/1/2018,23 - 00,2700,5261,11457,844,20262
6/1/2018,00 - 01,1841,4729,11395,810,18775
6/1/2018,01 - 02,1718,4389,11369,798,18274
6/1/2018,02 - 03,1690,4308,11353,783,18135
6/1/2018,03 - 04,1682,4369,11323,770,18143
6/1/2018,04 - 05,1660,4500,11334,754,18248
6/1/2018,05 - 06,1704,4637,11363,744,18448
6/1/2018,06 - 07,1806,4999,11414,739,18958
6/1/2018,07 - 08,1937,5813,11462,737,19948
6/1/2018,08 - 09,2613,6522,11457,742,21335
6/1/2018,09 - 10,2868,7102,11464,733,22167
6/1/2018,10 - 11,3075,7156,11597,736,22565
6/1/2018,11 - 12,3238,7197,11677,735,22846
6/1/2018,12 - 13,3137,7390,11801,739,23068
6/1/2018,13 - 14,3186,7363,11881,750,23180
6/1/2018,14 - 15,3191,7455,11969,775,23389
6/1/2018,15 - 16,3192,7548,12028,811,23578
6/1/2018,16 - 17,3313,7591,12206,854,23963
6/1/2018,17 - 18,3310,7476,12236,904,23925
6/1/2018,18 - 19,3319,7517,12296,947,24079
6/1/2018,19 - 20,3163,7345,12176,1005,23688
6/1/2018,20 - 21,2904,7256,12099,1037,23295
6/1/2018,21 - 22,2770,6894,12048,1052,22765
6/1/2018,22 - 23,2683,6403,11968,1064,22118
6/1/2018,23 - 00,2171,5507,11877,1074,20629
7/1/2018,00 - 01,1966,4641,11843,1064,19513
