Elspot prices in SEK/MWh,,,,,,,,,,,,,,,,,,
Data was last updated 31-12-2018,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
16 - Jan,277.17,261.82,261.82,287.71,287.8,351.16,233.06,286.42,281.23,239.75,240.15,262.37,262.37,258.51,349.34,464.03,466.81,
16 - Feb,187.58,180.43,180.43,183,187.04,245.39,173.15,181.91,180.54,180.51,180.17,182.96,182.96,177.79,266.01,278.98,278.98,
16 - Mar,203.65,200.71,200.71,200.73,207.44,251.66,194.79,204.21,198.94,198.94,198.84,200.8,200.8,194.54,273.12,277.38,286.08,
16 - Apr,203.66,203.1,203.1,203.15,204.11,250.82,202.48,204.14,201.49,201.48,201.55,206.01,206.01,191.85,273.76,282.77,304.07,
16 - May,215.54,219.81,219.81,219.81,220.23,260.72,217.21,227.31,209.77,209.77,209.67,218.54,218.54,207.76,262.54,303.6,305.34,
16 - Jun,247.49,314.63,314.63,314.82,315,330.41,265.87,315.18,224.61,224.61,222.86,286.73,286.73,231.11,338,378.16,378.16,
16 - Jul,239.75,274.17,274.17,274.17,274.94,293.29,253.32,275,221.76,221.76,210.39,278.94,278.94,244.75,293.29,362.62,371.27,
16 - Aug,238.92,289.27,289.27,289.37,289.51,297.83,259.49,288.81,205.03,205.03,197.81,281.41,281.41,245.5,297.83,320.54,320.66,
16 - Sep,240.95,277.61,277.61,279.43,283.21,311.01,275.19,298.27,226.62,222.54,202.32,270.26,270.26,238.42,309.88,325.49,325.49,
16 - Oct,318.18,351.12,351.12,351.12,355.46,364.18,322.21,355.62,318.63,298.68,299.68,351.31,351.31,272.54,364.18,373.19,373.19,
16 - Nov,382.73,404.08,404.08,404.08,405.17,404.39,364.84,404.94,391.55,361.78,372.52,415.33,415.33,314.74,402.85,398.98,399.96,
16 - Dec,309.13,321.6,321.6,322.35,333.57,330.65,276.46,306.81,320.89,299.78,301.21,314.19,314.19,271.63,330.75,332.42,338.34,
