SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,ELE,LT
328.95,328.61,328.61,337.96,338.49,343.49,327.42,333.15,322.53,309.25,310.76,325.77,325.77,325.77,351.88,0,0
432.98,427.14,427.14,448.38,465.56,466.12,426.54,471.57,416.54,392.34,401.5,426.54,426.54,426.54,427.65,0,0
259.4,251.37,257.74,257.74,263.99,324.37,280,284.23,255.45,254.91,254.91,251.05,251.05,251.72,348.39,0,0
281.05,279.28,279.28,279.31,299.6,323.28,308.08,319.16,269.1,267.81,269.09,278.07,278.07,270.95,325.14,0,0
256.12,263.44,263.44,269.6,287.31,299.75,324.1,326.64,240.08,239.92,240.04,261.91,261.91,254.55,325.09,0,0
222.59,233.23,233.23,241.39,313.41,243.51,330.49,328.46,207.95,208.33,203.67,232.52,232.52,228.75,273.81,0,0
117.91,115.04,115.04,115.04,166.64,117.67,219.33,243.63,112.4,118.06,107.22,114.83,114.83,114.83,307.19,365.3,392.52
194.9,215.07,215.07,223.61,230.17,315.81,322.67,330.88,164.99,170.59,162.53,197.98,197.98,197.98,333.65,423.38,447.4
215.34,247.59,247.59,250.24,254.8,348.32,317.37,321.2,158.4,158.99,134.62,244.02,244.02,236.03,357.69,363.35,377.98
299.36,298.76,298.76,298.76,298.88,332.11,328.09,328.65,295.76,295.76,295.51,298.19,298.19,290.76,346.04,362.61,385.73
294.34,290.32,290.32,290.32,290.6,317.92,300.4,310.37,292.29,292.22,292.48,293.93,293.93,294.13,322.59,322.93,338.4
371.71,377.98,377.98,379.4,381.73,405.01,319.44,335.77,368.36,352.13,367.01,379,379,378.99,377.05,377.05,384.49
