,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,FRE
15 - Jan,"283,43","281,80","281,80","285,31","287,04","318,58","242,35","274,62","270,96","269,07","269,40","286,78","286,78","286,79","318,90","374,86","374,87",
15 - Feb,"275,54","266,67","266,67","280,67","295,11","314,88","277,68","293,56","270,37","270,37","270,37","268,92","268,92","268,93","317,21","374,29","374,36",
15 - Mar,"234,33","233,05","233,05","239,36","245,11","272,05","244,96","254,25","229,28","229,28","228,24","234,08","234,08","233,99","280,29","298,02","298,02",
15 - Apr,"236,22","235,54","235,54","238,17","239,98","280,87","238,26","246,97","231,47","230,82","230,83","239,37","239,37","236,40","284,65","324,89","332,38",
15 - May,"207,76","208,11","208,11","209,39","216,79","240,61","204,96","218,36","200,37","200,37","200,37","220,17","220,17","211,01","300,60","347,50","347,50",
15 - Jun,"133,94","137,88","137,88","141,81","186,91","199,55","177,41","199,64","125,87","125,87","125,87","136,03","136,03","123,51","252,82","397,02","397,02",
15 - Jul,"89,49","84,97","84,97","84,97","86,08","258,51","127,90","129,25","84,01","84,12","84,01","85,11","85,11","82,43","263,10","415,16","415,16",
15 - Aug,"124,14","137,08","137,08","158,69","158,69","296,11","208,55","227,95","104,69","109,15","101,63","130,17","130,17","111,18","296,83","441,39","441,39",
15 - Sep,"163,93","194,43","195,80","196,51","206,72","298,35","199,53","237,63","121,55","121,55","121,55","191,09","191,09","185,36","297,85","416,16","416,16",
15 - Oct,"206,94","209,10","209,10","220,91","231,39","312,90","245,45","250,31","200,44","200,44","200,44","208,16","208,16","190,11","326,80","527,06","527,06",
15 - Nov,"231,79","224,60","224,60","240,10","243,31","295,81","234,66","242,55","231,65","228,40","228,40","222,30","222,30","210,65","306,54","426,45","427,25",
15 - Dec,"174,43","169,55","169,55","181,81","182,42","245,66","175,09","181,71","164,76","162,69","163,12","172,90","172,90","160,37","247,17","354,66","354,68",
